NashsField,3.6,11,Grassland,4.1,F,4
SilwoodBottom,5.1,2,Arable,5.2,F,7
NueseryField,2.8,3,Grassland,4.3,F,2
RushMeadow,2.4,5,Meadow,4.9,T,5
GunnessThicket,3.8,0,Scrub,4.2,F,6
OakField,3.1,2,Grassland,3.9,F,2
ChurchField,3.5,3,Grassland,4.2,F,3
Ashurst,2.1,0,Arable,4.8,F,4
TheOrchard,1.9,0,Orchard,5.7,F,9
RookerySlope,1.5,4,Grassland,5,T,7
GardenWood,2.9,10,Scrub,5.2,F,8
NorthGravel,3.3,1,Grassland,4.1,F,1
SouthGravel,3.7,2,Grassland,4,F,2
ObservatoryRidge,1.8,6,Grassland,3.8,F,0
PondField,4.1,0,Meadow,5,T,6
WaterMeadow,3.9,0,Meadow,4.9,T,8
Cheapside,2.2,8,Scrub,4.7,T,4
PoundHill,4.4,2,Arable,4.5,F,5
GravelPit,2.9,1,Grassland,3.5,F,1
FarmWood,0.8,10,Scrub,5.2,T,3
